web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-78","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Afinto","check_circle","500 g/kg flonikamid","2028. ápr. 30.","rovarölő szer","2028. ápr. 30.","","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
"1769693586-79","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Afitox 50 WG","error","500 g/kg pirimikarb","2024. dec. 31.","rovarölő szer","","2024. dec. 31.","","https://cdn.agromedium.com/uploads/2020/04/67c9c5c5003bb7c20c20/thumbnail.png"
"1769693586-80","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Afrasa Triple WG","check_circle","40 g/kg cimoxanil, 250 g/kg folpet, 500 g/kg foszetil-Al","2029. aug. 31.","gombaölő permetezőszer","2029. aug. 31.","","","https://cdn.agromedium.com/uploads/2018/08/67c9c5bf000cfc1dad7b/thumbnail.jpg"
"1769693586-81","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-82","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Afrodyta 250 SC","check_circle","250 g/l azoxistrobin","2028. máj. 31.","gombaölő szer","2028. máj. 31.","","","https://cdn.agromedium.com/uploads/2020/04/67c9c6f4002d68edb2b0/thumbnail.png"
"1769693586-83","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","AG40R","check_circle","0,05 m/m% benzizotiazolinon, 1,5 % propán-1,2-diol, 4 % színezőanyag, 40 % zsírsav-észterek","2031. máj. 31.","csávázási segédanyag","2031. máj. 31.","","",""
"1769693586-84","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 112 Blue","check_circle","0,05 m/m% Benzizotiazolin, 10 m/m% kék pigment, 15 m/m% titánium-dioxid","2031. febr. 28.","csávázási segédanyag","2031. febr. 28.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
"1769693586-85","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 114 Blue","check_circle","8,5 m/m% kék pigment, 15 m/m% titánium-dioxid","2034. jún. 30.","csávázási segédanyag","2034. jún. 30.","","",""
"1769693586-86","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 115 Blue","check_circle","3 m/m% kék pigment, 10 m/m% titánium-dioxid","2034. jún. 30.","csávázási segédanyag","2034. jún. 30.","","",""
"1769693586-87","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-88","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 454 Purple","check_circle","5 m/m% violet pigment 23, 20 m/m% titánium-dioxid, 0,05 m/m% benzizotiazolinon","2032. szept. 30.","csávázási segédanyag","2032. szept. 30.","","",""
"1769693586-89","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 456 Red","check_circle","6 m/m% red pigment 48:2","2034. jún. 30.","csávázási segédanyag","2034. jún. 30.","","",""
"1769693586-90","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 552 Red","check_circle","0,05 m/m% benzizotiazolinon, 15 m/m% pigment red 112, 10 m/m% titánium-dioxid","2032. nov. 30.","csávázási segédanyag","2032. nov. 30.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
"1769693586-91","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote 552 Red ISR","error","0,05 m/m% benzizotiazolinon, 15 m/m% pigment red 112, 10 m/m% titánium-dioxid, 5 m/m% red 7 pigment","2023. szept. 30.","csávázási segédanyag","","2023. szept. 30.","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
"1769693586-92","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote Plus A","check_circle","<65 % akril kopolimer","2034. dec. 31.","csávázási segédanyag","2034. dec. 31.","","",""
"1769693586-93","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-94","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote Plus B Colorless","check_circle","50 m/m% polietilén","2033. febr. 28.","csávázási segédanyag","2033. febr. 28.","","",""
"1769693586-95","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote Plus C","check_circle","50 m/m% ragasztóanyag","2034. dec. 31.","csávázási segédanyag","2034. dec. 31.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
"1769693586-96","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agicote Plus E","check_circle","90 m/m% ragasztóanyag","2034. dec. 31.","csávázási segédanyag","2034. dec. 31.","","",""
"1769693586-97","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agifix 75C","check_circle","2,89 m/m% Acid Red 18, max 0,05 m/m% Benzizotiazolin, 8,2 m/m% Kaolin, max 10 m/m% titánium-dioxid","2030. szept. 30.","csávázási segédanyag","2030. szept. 30.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
"1769693586-98","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Agifix Plus Colorless","check_circle","95 m/m% zsírsav-észterek","2032. nov. 30.","csávázási segédanyag","2032. nov. 30.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c6f40030c4c49187/thumbnail.png"
